title,content,position
ALABADO SEAS SIEMPRE,"Juntos cantemos al Señor con alegría, cantemos a nuestro protector y Salvador entremos en su presencia con gratitud, y cantemos himnos en su honor. 

Porque el Señor es Dios grande, el Gran Rey, tiene en su mano las regiones más, profundas de la tierra, suyas son las más altas montañas, el mar le pertenece pues él lo formó, uoh, oh, oh, oh, oh. 

Démosle todo nuestro corazón, con temor reverente y con amor, busquemos siempre hacer su voluntad nuestra luz como un faro brillará. 

Bendito seas Señor, único Dios, quiero alabarte mientras viva, eres mi amigo fiel. En ti encuentro plenitud de toda Gracia ¡Alabado seas siempre, por los siglos de los siglos! Amén, amén, amén. 

Juntos cantemos al Señor con alegría, cantemos a nuestro protector y Salvador entremos en su presencia con gratitud, y cantemos himnos en su honor. 
Porque el Señor nos ha dado un Espíritu de amor, de buen juicio y de Poder, en Cristo nos dio Salvación 

¡Alabado seas siempre, por los siglos de los siglos! ¡Amén! ",1
A TI LA GLORIA,"Coro
A ti la gloria, Oh nuestro Señor. 
A ti la victoria, gran libertador (x2) 

Te alzaste pujante, lleno de poder, más que el sol radiante, al amanecer, más que el sol radiante, al amanecer 

Coro 

Gozo y alegría, reinan por doquier porque Cristo hoy, muestra su poder ángeles cantando himnos al señor véanle aclamando, como vencedor. 

Coro  

Libres de pena, nuestro Rey Jesús, rompe las cadenas de la esclavitud, ha resucitado ya no morirá, quien muere al pecado en Dios vivirá. ",2
ALELUYA,"Dios cantamos en tu honor, al mundo en derredor
Tu palabra ha de escuchar, Al Mesías venerar

Coro
Aleluya, alelu, alelu, leluya (2X)

Santa sangre en una cruz, Juicio y gracia es su luz
Quebrada la tierra esta, Canta hasta ver su faz

Coro

Este es nuestro buen vivir, Todos prestos a servir
Su presencia sin igual, Demanda su potestad

Coro

Justicia divina es El, A nadie desea perder
Su comando celestial, Gobierna la eternidad
Coro

La vida un suspiro es, Sin fallar encuéntrenle
Somos barro a transformar, Al cumplir su voluntad

Coro",3
ANÍMAME DIOS,"Anímame Dios, y déjame seguir
Pues la noche ha llegado, y estoy muy alejado. Gracias a Dios, viene el amanecer… (2x)

La tormenta está pasando, La tormenta está pasando, La tormenta está pasando, Aleluya! (2x)

Aleluya (3X)

La Tormenta está pasando, La tormenta está pasando, La tormenta está pasando, Aleluya!",4
ANÍMATE,"Anímate hermano y dile al mundo que: Jesucristo es rey (x3). 
Jesucristo sigue siendo el rey, siendo el rey. 

Hablamos de guerras, hablamos de crisis en este mundo actual, hablamos de gentes, hablamos de cosas sin valor eternal, por eso quiero decirte que lo más hermoso es, hablar de Jesús, Ese tema no tiene final. 

Anímate hermano y dile.... 

Jesús es mi amigo que allá en el calvario, murió en mi lugar, también es mi Padre que me ha preparado, en el cielo un lugar. Su amor infinito no tiene fronteras y puedo afirmar ¡Soy su hijo por la eternidad! Anímate hermano y dile...
",5
AUNQUE NO HUBIERA CIELO,"No me mueve mi Dios, para quererte el cielo que me tienes prometido, ni me mueve el infierno tan temido, para dejar por eso de ofenderte. 

Tú me mueves, me mueve el verte, clavado en una cruz escarnecido, me mueve ver tu cuerpo tan herido, me mueven tus afrentas y tu muerte, me mueve al fin tu amor, en tal manera que aunque no hubiera cielo yo te amara. Y aunque no hubiera infierno, te temiera. (Se repite toda)",6
BUSCO A DIOS,"Busco la bella mañana, busco el suave atardecer, busco a la orilla de mi cama, de rodillas mi Dios quiero ver (x2) 

Las promesas que un día leí, hoy las quiero vivir. Guíame Señor hacia ti, contigo quiero vivir (x2) 

Busco apartarme del pecado, busco agradarle a él, busco mirarle a los ojos y ser discípulo fiel. (x2) 

Las promesas que un día leí,... ",7
CANTA ALELUYA AL SEÑOR,"Canta aleluya al Señor

Cristo Jesús es mi Señor

Cristo murió en la cruz por mí

Cristo Jesús resucitó

Un día Cristo volverá
",8
CON DIOS EN LA BATALLA,"Ya se ve la luz de un nuevo día,
 es la tierra nueva que el Señor nos prometió. 
Un mundo sin fe, sin amor, sin esperanza, nos espera hoy ansioso para ver, su liberación.
 
Señor (Señor y Dios)  Guíanos en la batalla (x2)
Danos triunfo en la batalla y al final. La fe renacerá. 

Mira Oh Dios a tu pueblo en la llanura, 
brazo con brazo ante el nuevo amanecer. 
En nuestros corazones, hay sueños y esperanzas pero tuya es la gloria y el honor y tuyo es el poder.

Señor (Señor y Dios)  Guíanos en la batalla (x2) 
 Danos triunfo en la batalla y al final
El amor nos sostendrá. 

El Señor es la fuerza de su pueblo,
su amor nos ha llenado de valor y convicción. 
Los hombres sin Dios, son desiertos solitarios, este mundo necesita conocer, el amor de nuestro Dios. 

Señor (Señor y Dios)  Guíanos en la batalla (x2) 
Danos triunfo en la batalla y al final La esperanza alumbrará 
Danos triunfo en la batalla y al final El amor nos sostendrá. ",9
CÁNTICO CELESTE,"En tu ser un dulce canto gozarás, de alegría cada día. Aunque pruebas y tristezas hallarás, en tu ser un dulce canto gozarás. 

Coro:
Cántico celeste en la noche tendrás, en tu corazón aunque en aflicción. Fácil es cantar cuando reina la paz, pero en el dolor es mejor cantar. 

Ya la noche pasará con su pavor, de tus pruebas ya no temas. Hoy trabaja, ora y sirve a tu Señor pronto el sol alumbrará en tu corazón. 

Coro",10
CANTARÉ,"Cantaré en honor del Señor, pues ha triunfado en mi vida, él es mi fuerza y mi salvación, él es mi Dios y he de alabarlo. 

He de enaltecerlo es un gran guerrero, fuerte y poderoso, gran líder divino. Es maravilloso, digno de loor, con su amor dirige a este pueblo que escogió. Uh, uh, uh. 

Santo, santo, santo eres Señor, creador del universo, cielo y tierra están llenos de ti, tu Palabra es verdadera. 

Hay solo un camino, que me da la vida, el alfa y la omega, el principio el fin. El es Jesucristo tu imagen visible, mi mejor amigo, que me lleva hasta ti. Uh, uh.
 
Cantaré en honor de Jesús, él por mi entregó su vida. Haya siempre en mi gratitud y obediencia a su enseñanza. 

Fiel y verdadero, manantial de vida, mi esperanza eterna, eres mi pastor. Por todos los siglos, alabado seas recordado siempre por tu gran amor. Uh, uh.   Por tu gran amor. ¡Cantaré! ",11
CIELOS Y NUBES,"Cielos y nubes y rayos del sol
Hoy veo brillar
Porque Cristo vive en mí

Coro
Yo sé que Cristo está aquí, Y que vive hoy,
Habita en mi corazón., Nunca más estaré solo porque El,
Prometió no dejarme jamás

Montes y valles, en su bello esplendor
Me hacen pensar, en quien todo lo creo
Coro

Aves y flores en la primavera, Son obras de Dios
A quien yo sirvo hoy
Coro",12
CONTIGO TODO,"Estando contigo, nada quiero en esta tierra, estando contigo que más podría pedir, si tú me das todo y  aún más de lo que te pido, bendices mi vida, cada día soy feliz. 

Yo nada merezco, pero tu bondad es grande, yo nada te he dado y tú moriste, y fue por mí. Más si yo quisiera dar mi vida, no sería suficiente tendría que morir mil veces quizás más. Para agradecerte tanto, tanto, el amor que tú me has dado déjame servirte fiel hasta el final. 

Estando contigo, nada quiero en esta tierra estando contigo que más podría pedir, eres mi refugio el que me salva y me protege, nadie se compara, nadie me ama tanto así. 

Yo nada merezco, pero tu bondad es grande, yo nada te he dado y tú moriste y fue por mí. No existe riqueza más valiosa en este mundo. 

Estando contigo, tengo todo y es por ti. 
",13
DICHOSO TÚ,"Dichoso tú, que reconoces tu necesidad de Dios, porque de ti, es el reino de los cielos. Dichoso tú, cuando sufres y eres humilde, recibirás la herencia y el consuelo, 

Dios te oye si le pides ayuda, te alegrarás. 

Bienaventurados los que tienen hambre y sed de justicia, dichoso tú, que trabajas por la paz y eres compasivo, hijo serás, no volverás a tener sed alcanzarás misericordia, verás a Dios. 

Bienaventurados los de limpio corazón, entrarán en el santuario, dichoso tú si por causa de Jesús eres maltratado, alégrate, no te rindas en la batalla, tu recompensa está en el cielo ¡vivirás con él! 

Bienaventurados los que tienen hambre y sed de justicia, dichoso tú, que trabajas por la paz y eres compasivo, hijo serás, no volverás a tener sed alcanzarás misericordia verás a Dios. 

Bienaventurados los de limpio corazón, entrarán en el santuario. Dichoso tú si por causa de Jesús eres maltratado, alégrate no te rindas en la batalla, tu recompensa está en el cielo ¡Vivirás con él! 

Dichoso tú que reconoces tu necesidad de Dios. ",14
DIOS TU PUEBLO CANTA,"Dios tu pueblo canta
Hermosas alabanzas
Cantan para Ti
Al único y verdadero Dios.

Dios tu pueblo te ama
Porque nadie te iguala
Tú eres único
El único y verdadero Dios.

Coro: 
Ale, ale, alelu
En la gloria moras Tú, Tú eres único 
El único y verdadero Dios (x2)

Predicamos a Cristo
Y él crucificado 
Tú eres único
El único y verdadero Dios.

Dios tu pueblo canta
Hermosas alabanzas
Cantan para ti
Al único y verdadero Dios.

Coro",15
DE GLORIA EN GLORIA,"/: De gloria en gloria te veo, cuanto más te conozco, quiero saber más de ti. Mi Dios cual buen alfarero, quebrántame, transfórmame, moldéame a tu imagen Señor 

Quiero ser más como tú, ver la vida como tú, saturarme de tu Espíritu y reflejar al mundo, tu amor. / ",16
DOY LO MEJOR,"Quiero cantar, cantar, cantar al Señor por siempre (x2) 

Doy lo mejor, doy lo mejor uoh, uoh doy lo mejor por ti, uoh, oh, oh. Doy lo mejor, doy lo mejor uoh, uoh, doy lo mejor por ti. 

Quiero orar; servir; palmar.",17
DULCE COMUNIÓN,"Dulce comunión, la que gozo ya
En los brazos de mi Salvador
Qué gran bendición en su paz me da
Oh, yo siento en mí su tierno amor

Coro:
Libre, salvo… del pecado y del temor
Libre, salvo… en los brazos de mi Salvador

Cuan dulce es vivir, cuan dulce es gozar
En los brazos de mi salvador
Allí quiero ir y con El morir
Siendo objeto de su tierno amor

No hay que temer ni que desconfiar
En los brazos de mi Salvador
Por su gran poder El me guardara
De los lazos del engañador.",18
EL SEÑOR ESTA DENTRO DE MÍ,"El Señor está dentro de mí, (Mi Señor). El Señor me salva, (Mi Señor). Él por mí se alegrará, y su amor me renovará, y dejará sobre mí: Alegría, alegría, alegría, él me llenará, uoh, oh, oh, uoh, oh, oh.",19
EN TI,"/: En ti, confía mi corazón, en ti reposa mi alma mi ser, descansa en ti puedo ser feliz:/ 

Porque sé que está obrando, tu perfecta voluntad en mi vida está obrando, tu perfecta voluntad. En ti, confía mi corazón, en ti reposa... ",20
EL DIOS ETERNO,"/: El Dios eterno y poderoso, no ha perdido su fuerza. El Dios eterno esta pronto a salvar. Iluminó mi camino, ya cambió mi destino. El Dios eterno esta pronto a salvar: / 

Un Dios que vence todas las pruebas, con amor, con fe y perdón, una vida cierta y verdadera. Ser parte en la familia y vivir con gratitud: / ",21
ENSÉÑAME,"Enséñame a entender, lo que tengo que hacer para serte fiel, para no dudar, para no negarte más. Enséñame a buscar, sólo en ti la gran verdad, no permitas que demos marcha atrás, ni en reversa caminar. Ayúdame a empezar. 

Y si he de caer, tú levántame Señor, dame el poder y la convicción para continuar en pie. Enséñame a morir, y que tú vivas en mí, pon la humildad, toda la bondad, dentro de mi corazón. 

Ayúdame por favor, enséñame mi Señor(x2). Ayúdame por favor, mi Señor",22
ESTOY SUBIENDO,"Estoy Subiendo Señor
Y voy llegando Jesús
Estoy subiendo Señor
Mi nombre voy a escuchar

Lo puedes ver en la Biblia, y debes reflexionar, mientras escuchas la historia, que hoy te vengo a contar

Abraham tenía un hijo, y Dios se lo pidió… Abraham tuvo fe, y Dios le dio bendición

Dios mando a Noé, un arca construyo, y al llegar el diluvio, y su familia salvo

Hay una sola fe, hay un solo Señor, hay un solo bautismo, para la salvación",23
FAMILIA DE DIOS,"/: Hoy como es bueno, vivimos unidos como hermanos, hoy como es bueno estar en la familia de Dios:/ 

/: Porque fuimos libertados, estamos siempre en el propósito, avanzando en la batalla, con gratitud: / Con gratitud, con gratitud, con gratitud.",24
GLORIA GLORIA,"Gloria, gloria, aleluya ya dejé mi carga atrás (x2) 

Soy feliz, muy feliz ya dejé mi carga atrás (x2) 

Gloria, gloria, aleluya... Voy a ver, a Jesús ya dejé mi carga atrás (x2)

Voy a estar en un banquete ya deje mi carga atrás (x2) Gloria, gloria, aleluya ",25
GUIÁNDOTE,"Coro:
Guiándote quién impedirá, guiándote quién impedirá (x2) 

Es el Señor es un Dios de amor, está contigo por donde tú vas. Antes de él ningún Dios se formó Después de él ningún otro habrá. 

Coro 

Ustedes son la prueba de su amor, está contigo por donde tú vas. Antes de él ningún Dios se formó Después de él ningún otro habrá.

Coro

Ustedes son la prueba de su amor, está contigo por donde tú vas, aunque los montes cambien de lugar, su amor por ti nunca cambiará

Coro",26
GRACIAS DIOS,"Gracias Dios por tu bondad, te alabo por tu majestad, gracias por tu inmenso amor que envió al Salvador. 

Te damos gracias Dios por tu bondad, gracias por tu gran fidelidad (x2) 

Alabemos a una voz, el nombre del potente Dios, Elevemos en su honor, un canto de loor. 

Te damos gracias Dios por tu bondad.... 

Muéstrame tu santo ser, infunde en mi tu gran poder, quiero de tu amor hablar y por tu senda andar.

Te damos gracias Dios por tu bondad. ",27
HE DECIDIDO,"He decidido seguir a Cristo ( x3) No vuelvo atrás, no vuelvo atrás. 

El mundo atrás, la cruz delante (x3). No vuelvo atrás, no vuelvo atrás. He decidido seguir a Cristo  ( x3) No vuelvo atrás, no vuelvo atrás. 

Aunque otros vuelvan, yo sigo a Cristo (x3) 

No vuelvo atrás, no vuelvo atrás. 

He decidido seguir a Cristo ( x3) No vuelvo atrás, no vuelvo atrás. (x3) No vuelvo atrás. 
",28
HOY LES VOY A CONTAR,"Hoy les voy a contar, lo que Cristo hizo por mí, él fue un hombre normal que vivió amándome a mí. Nunca existirá tal amor en un ser no hijo de Dios, no escuches con tus oídos si no más con tu corazón. 

Sabes que por mi sufrió, sabes que me dio su amor enfrentó al mundo traidor y mi vida perdonó. 

Sobre una cruz mi buen Señor su sangre derramó, por este pecador a quien así salvó. Sabes que por mi sufrió, sabes que me dio su amor enfrentó al mundo traidor y mi vida perdonó. 

Por eso mi Dios le dio un lugar entre los grandes y poderosos. De sus riquezas, recibí bendición tras bendición. 

Te cuento esto, sólo por qué sé que este amor /: Es también para ti, para ti.:/ ",29
HUMÍLLENSE,"Humíllense en frente del Señor (2x)
Y El los exaltara (2x)

Sublime gracia del Señor
Que salvo a este pecador

Fui ciego mas hoy miro yo
Perdido y él me hallo

Llegando al cielo brillare
Por los siglos como el sol

Yo cantare por siempre allí
A su amor que me sano",30
IR HACIA TI,"Cuántos golpes más van a caer, sobre la piel de mi salvador. Cuánta sangre más va a correr, Cuántos ríos más de su dolor. 

No es con magia que la convicción, aparecerá en mi corazón. Cada día quiero ir hacia ti, y vivir todo por ese amor. 

Cual imagen vas a colgar, en tu cuarto y no en tu corazón. Cuánto más lo voy a dudar si mi duda es su crucifixión. 
No es con magia que la convicción...",31
JESÚS ME ACOMPAÑA ,"Jesús, Jesús yo te amo a ti (Jesús, Jesús yo te amo a ti) por morir así por mí, (por morir así por mi) Ahora es tiempo de decir, (Ahora es tiempo de decir), Gracias por amarme a mí (x2) 

Y en el valle de las sombras (Jesús me acompaña) 
Cuando animo a mis hermanos (Jesús me acompaña) 
Cuando predico su palabra (Jesús me acompaña) ¡Hasta el final!

Cuando andaba engañado, 
(Cuando andaba engañado)
 Vivía desanimado, 
(Vivía desanimado,) 
Tú me tomaste de la mano, 
(Me tomaste de la mano) 
Y me pusiste a tu lado. 

Y en el valle de las sombras... 

Cuando oí de su Palabra 
(Cuando oí de su Palabra) 
Algo adentro en mí gritaba 
(Algo adentro en mí gritaba) 
Pues a través de ella hablabas 
(Pues a través de ella hablabas), 
Y el camino me mostrabas 
(Y el camino me mostrabas). 

Y en el valle de las sombras... 
",32
JESUCRISTO ES EL MOTIVO,"Jesucristo es el motivo de mi canción, otra razón yo no tengo por qué cantar, la melodía es él, toda mi vida está en él Jesucristo es el motivo de mi canción.

Muchas razones para vivir, muchas razones para morir, muchas razones para dar amor. 

No siempre se saben los por qué la vida pasa con rapidez, cada momento yo aprovecharé. Para darle mis canciones, ofrecer mis oraciones entregar mi vida entera al que todo me da. 

Jesucristo es el motivo......

Era una búsqueda sin cesar yo no me canso de preguntar, sobre el por qué de mis canciones para Dios. 
Oh, pues él conoce mi corazón existe sólo una razón, agradecerle toda su bondad 

Le daré de mis canciones y también mis ilusiones es la forma en que puedo expresarle mi amor. ",33
JUSTIFICADOS,"Todos nosotros nos perdimos, por seguir nuestros caminos, más Dios cargó en Él el pecado tuyo y mío. Recibió entendimiento y fue dócil como un ciervo, no dio mirada atrás y no opuso resistencia.

Se entregó sumisamente, ofreció la otra mejilla. Se dejó insultar, golpear mientras pensaba en ti y en mí. El confiaba que su Padre le daría fortaleza, a pesar del sufrimiento sin vergüenza fue a la Cruz. 

/: Cristo es: nuestro Salvador, vino a hacer la voluntad de Dios, dio su vida una vez y para siempre. Para que: dejemos la maldad, arrepentidos volvamos a empezar, agradecidos regresemos a Dios: 

Perdonados, justificados como si nunca hubiésemos pecado. :/ ",34
LA ALEGRÍA,"La alegría está en el corazón, de quien ya conoce a Jesús, la verdadera paz la tiene aquel que ya conoce a Jesús, aleluya
Un sentimiento más precioso que viene de nuestro Señor, el amor, que sólo tiene quien conoce a Jesús. 

Anímate, anímate, anímate, anímate, anímate. 
Un sentimiento más precioso que viene de nuestro Señor. El amor, que sólo tiene quien conoce a Jesús. 
",35
LA GRACIA DE DIOS,"/: La Gracia de Dios, hace posible nuestra salvación. La Gracia de Dios, es un regalo que no merecemos. Dios nos escogió desde antes de la creación, para hacernos santos sin defecto en su presencia. 

Con gratitud, alabemos a nuestro Señor, pues por su Hijo nos ha perdonado. Gloria y honor al Rey de los cielos, por misericordia nos dio vida eterna, oh, oh, oh 

Unidos a Cristo, en su gran amor firmes en la Gracia de Dios, salvados para buenas obras, su Gracia es la base, para nuestra fe ahora como hijos de Dios, vivimos justificados, oh, oh, oh. Vivimos justificados, oh, oh, oh, oh. :/ Final: 

Vivimos justificados, oh, oh, Si Vivimos justificados: ¡Por Gracia de Dios! ",36
